marketid,marketsize,locationid,ageofstore,promotion,week,sales
7,UK,613,18,Query Blue Cheese,3,56860
7,UK,613,18,Query Blue Cheese,4,47510
7,UK,614,8,Python Angus,1,38560
7,UK,614,8,Python Angus,2,37290
7,UK,614,8,Python Angus,3,35600
7,UK,614,8,Python Angus,4,33350
7,UK,615,1,Python Angus,1,48500
7,UK,615,1,Python Angus,2,36800
7,UK,615,1,Python Angus,3,48320
7,UK,615,1,Python Angus,4,41540
8,UK,701,1,Tableau Pork BBQ,1,53560
8,UK,701,1,Tableau Pork BBQ,2,49720
8,UK,701,1,Tableau Pork BBQ,3,48770
8,UK,701,1,Tableau Pork BBQ,4,46840
8,UK,702,13,Query Blue Cheese,1,51820
8,UK,702,13,Query Blue Cheese,2,45020
8,UK,702,13,Query Blue Cheese,3,49440
8,UK,702,13,Query Blue Cheese,4,51320
8,UK,703,4,Query Blue Cheese,1,52850
8,UK,703,4,Query Blue Cheese,2,40840
8,UK,703,4,Query Blue Cheese,3,64450
8,UK,703,4,Query Blue Cheese,4,44430
8,UK,704,27,Query Blue Cheese,1,56640
8,UK,704,27,Query Blue Cheese,2,46060
8,UK,704,27,Query Blue Cheese,3,55460
8,UK,704,27,Query Blue Cheese,4,51410
8,UK,705,22,Tableau Pork BBQ,1,49670
8,UK,705,22,Tableau Pork BBQ,2,49980
8,UK,705,22,Tableau Pork BBQ,3,49500
8,UK,705,22,Tableau Pork BBQ,4,47350
8,UK,706,17,Tableau Pork BBQ,1,50260
8,UK,706,17,Tableau Pork BBQ,2,52050
8,UK,706,17,Tableau Pork BBQ,3,51140
8,UK,706,17,Tableau Pork BBQ,4,46300
8,UK,707,5,Query Blue Cheese,1,56990
8,UK,707,5,Query Blue Cheese,2,45570
8,UK,707,5,Query Blue Cheese,3,45920
8,UK,707,5,Query Blue Cheese,4,50520
8,UK,708,15,Python Angus,1,32610
8,UK,708,15,Python Angus,2,57270
8,UK,708,15,Python Angus,3,37320
8,UK,708,15,Python Angus,4,41220
8,UK,709,1,Python Angus,1,39730
8,UK,709,1,Python Angus,2,50300
8,UK,709,1,Python Angus,3,40160
8,UK,709,1,Python Angus,4,41370
8,UK,710,24,Tableau Pork BBQ,1,54790
8,UK,710,24,Tableau Pork BBQ,2,52390
8,UK,710,24,Tableau Pork BBQ,3,42150
8,UK,710,24,Tableau Pork BBQ,4,49630
8,UK,711,1,Query Blue Cheese,1,54950
8,UK,711,1,Query Blue Cheese,2,55780
8,UK,711,1,Query Blue Cheese,3,46490
8,UK,711,1,Query Blue Cheese,4,56840
8,UK,712,9,Tableau Pork BBQ,1,48060
8,UK,712,9,Tableau Pork BBQ,2,51090
8,UK,712,9,Tableau Pork BBQ,3,44190
8,UK,712,9,Tableau Pork BBQ,4,49520
9,UK,801,3,Query Blue Cheese,1,65110
9,UK,801,3,Query Blue Cheese,2,54380
9,UK,801,3,Query Blue Cheese,3,57140
9,UK,801,3,Query Blue Cheese,4,49910
9,UK,802,9,Python Angus,1,48760
9,UK,802,9,Python Angus,2,44140
9,UK,802,9,Python Angus,3,58100
9,UK,802,9,Python Angus,4,44160
9,UK,803,10,Tableau Pork BBQ,1,44660
9,UK,803,10,Tableau Pork BBQ,2,53780
9,UK,803,10,Tableau Pork BBQ,3,43910
9,UK,803,10,Tableau Pork BBQ,4,52410
9,UK,804,1,Query Blue Cheese,1,50540
9,UK,804,1,Query Blue Cheese,2,58430
9,UK,804,1,Query Blue Cheese,3,59770
9,UK,804,1,Query Blue Cheese,4,60440
9,UK,805,6,Tableau Pork BBQ,1,50940
9,UK,805,6,Tableau Pork BBQ,2,49380
9,UK,805,6,Tableau Pork BBQ,3,63980
9,UK,805,6,Tableau Pork BBQ,4,45840
9,UK,806,5,Tableau Pork BBQ,1,51010
9,UK,806,5,Tableau Pork BBQ,2,56160
9,UK,806,5,Tableau Pork BBQ,3,45770
9,UK,806,5,Tableau Pork BBQ,4,46470
9,UK,807,1,Python Angus,1,46020
9,UK,807,1,Python Angus,2,51090
9,UK,807,1,Python Angus,3,51680
9,UK,807,1,Python Angus,4,55910
9,UK,808,20,Tableau Pork BBQ,1,55900
9,UK,808,20,Tableau Pork BBQ,2,59800
9,UK,808,20,Tableau Pork BBQ,3,60970
9,UK,808,20,Tableau Pork BBQ,4,64140
9,UK,809,9,Tableau Pork BBQ,1,39980
9,UK,809,9,Tableau Pork BBQ,2,54580
9,UK,809,9,Tableau Pork BBQ,3,52640
9,UK,809,9,Tableau Pork BBQ,4,45430
9,UK,810,13,Query Blue Cheese,1,49300
9,UK,810,13,Query Blue Cheese,2,61800
9,UK,810,13,Query Blue Cheese,3,58000
9,UK,810,13,Query Blue Cheese,4,55200
10,USA,901,7,Python Angus,1,53760
10,USA,901,7,Python Angus,2,39360
10,USA,901,7,Python Angus,3,47200
10,USA,901,7,Python Angus,4,53660
10,USA,902,1,Query Blue Cheese,1,61530
10,USA,902,1,Query Blue Cheese,2,59170
10,USA,902,1,Query Blue Cheese,3,63730
10,USA,902,1,Query Blue Cheese,4,61770
10,USA,903,7,Tableau Pork BBQ,1,51890
10,USA,903,7,Tableau Pork BBQ,2,51170
10,USA,903,7,Tableau Pork BBQ,3,54330
10,USA,903,7,Tableau Pork BBQ,4,50050
10,USA,904,10,Python Angus,1,51090
10,USA,904,10,Python Angus,2,54820
10,USA,904,10,Python Angus,3,44160
10,USA,904,10,Python Angus,4,53950
10,USA,905,2,Tableau Pork BBQ,1,54340
10,USA,905,2,Tableau Pork BBQ,2,60240
10,USA,905,2,Tableau Pork BBQ,3,56390
10,USA,905,2,Tableau Pork BBQ,4,58330
10,USA,906,13,Python Angus,1,51260
10,USA,906,13,Python Angus,2,51730
10,USA,906,13,Python Angus,3,51350
10,USA,906,13,Python Angus,4,41850
10,USA,907,10,Python Angus,1,45210
10,USA,907,10,Python Angus,2,55020
10,USA,907,10,Python Angus,3,45350
10,USA,907,10,Python Angus,4,47060
10,USA,908,3,Python Angus,1,43590
10,USA,908,3,Python Angus,2,46030
10,USA,908,3,Python Angus,3,47220
10,USA,908,3,Python Angus,4,51410
10,USA,909,1,Query Blue Cheese,1,58190
10,USA,909,1,Query Blue Cheese,2,62720
10,USA,909,1,Query Blue Cheese,3,66660
10,USA,909,1,Query Blue Cheese,4,64660
10,USA,910,1,Query Blue Cheese,1,66340
10,USA,910,1,Query Blue Cheese,2,60590
10,USA,910,1,Query Blue Cheese,3,61950
10,USA,910,1,Query Blue Cheese,4,67840
10,USA,911,1,Python Angus,1,55390
10,USA,911,1,Python Angus,2,49160
10,USA,911,1,Python Angus,3,58260
10,USA,911,1,Python Angus,4,48120
10,USA,912,6,Python Angus,1,49980
10,USA,912,6,Python Angus,2,44840
10,USA,912,6,Python Angus,3,55120
10,USA,912,6,Python Angus,4,47360
10,USA,913,24,Query Blue Cheese,1,62330
10,USA,913,24,Query Blue Cheese,2,53680
10,USA,913,24,Query Blue Cheese,3,62370
10,USA,913,24,Query Blue Cheese,4,63580
10,USA,914,9,Python Angus,1,44700
10,USA,914,9,Python Angus,2,43440
10,USA,914,9,Python Angus,3,52360
10,USA,914,9,Python Angus,4,45900
10,USA,915,3,Query Blue Cheese,1,53510
10,USA,915,3,Query Blue Cheese,2,49760
10,USA,915,3,Query Blue Cheese,3,68310
10,USA,915,3,Query Blue Cheese,4,66100
10,USA,916,7,Python Angus,1,43610
10,USA,916,7,Python Angus,2,46200
10,USA,916,7,Python Angus,3,51520
10,USA,916,7,Python Angus,4,49710
10,USA,917,14,Tableau Pork BBQ,1,53500
10,USA,917,14,Tableau Pork BBQ,2,56340
10,USA,917,14,Tableau Pork BBQ,3,51830
10,USA,917,14,Tableau Pork BBQ,4,50200
10,USA,918,6,Query Blue Cheese,1,49620
10,USA,918,6,Query Blue Cheese,2,62540
10,USA,918,6,Query Blue Cheese,3,50110
10,USA,918,6,Query Blue Cheese,4,61630
10,USA,919,2,Query Blue Cheese,1,59870
10,USA,919,2,Query Blue Cheese,2,62990
10,USA,919,2,Query Blue Cheese,3,57200
10,USA,919,2,Query Blue Cheese,4,64340
10,USA,920,14,Python Angus,1,50200
10,USA,920,14,Python Angus,2,45750
10,USA,920,14,Python Angus,3,44290
10,USA,920,14,Python Angus,4,49410
